Phase,Trial,AOI,Distance,Type,Connections
Exp,1,AB,1,,
Exp,1,AC,2,,2
Exp,1,CD,2,,
Exp,1,BD,1,,2
Exp,1,BC,1,,2
Exp,1,JointA,1,SupportFix,
Exp,1,JointB,0,Force,
Exp,1,JointC,1,,
Exp,1,JointD,1,SupportMobile,
Exp,2,AB,2,,
Exp,2,BC,1,,
Exp,2,AD,2,,
Exp,2,BD,2,,4
Exp,2,CD,1,,4
Exp,2,DF,2,,4
Exp,2,DE,2,,
Exp,2,CE,1,,
Exp,2,EF,2,,
Exp,2,JointA,2,SupportFix,
Exp,2,JointB,1,,
Exp,2,JointC,0,Force,
Exp,2,JointD,1,,
Exp,2,JointE,1,,
Exp,2,JointF,2,SupportMobile,
Exp,3,AB,2,,2
Exp,3,BC,1,,
Exp,3,AD,2,,
Exp,3,BD,2,,
Exp,3,CD,1,,
Exp,3,DE,2,,
Exp,3,CE,1,,3
Exp,3,CF,1,,
Exp,3,EF,2,,3
Exp,3,FG,2,,
Exp,3,EG,2,,
Exp,3,JointA,2,SupportFix,
Exp,3,JointB,1,,
Exp,3,JointC,0,Force,
Exp,3,JointD,1,,
Exp,3,JointE,1,,
Exp,3,JointG,2,SupportMobile,
Exp,3,JointF,1,,
Exp,4,AB,1,,3
Exp,4,BC,1,,
Exp,4,AD,2,,
Exp,4,BD,1,,3
Exp,4,BE,1,,
Exp,4,DE,2,,
Exp,4,CE,2,,
Exp,4,CF,2,,
Exp,4,EF,2,,
Exp,4,FG,3,,3
Exp,4,EG,2,,
Exp,4,GH,3,,
Exp,4,FH,3,,
Exp,4,JointA,1,SupportFix,
Exp,4,JointB,0,Force,
Exp,4,JointC,1,,
Exp,4,JointD,1,,
Exp,4,JointE,1,,
Exp,4,JointH,3,SupportMobile,
Exp,4,JointF,2,,
Exp,4,JointG,2,,
Exp,5,AB,2,,
Exp,5,BC,1,,
Exp,5,AD,3,,
Exp,5,BD,2,,
Exp,5,BE,2,,
Exp,5,DE,2,,4
Exp,5,CE,1,,4
Exp,5,CF,1,,3
Exp,5,EF,2,,
Exp,5,FG,2,,
Exp,5,EG,2,,
Exp,5,GH,3,,
Exp,5,FH,2,,
Exp,5,JointA,2,SupportFix,
Exp,5,JointB,1,,
Exp,5,JointC,0,Force,
Exp,5,JointD,2,,
Exp,5,JointE,1,,
Exp,5,JointH,2,SupportMobile,
Exp,5,JointF,1,,
Exp,5,JointG,2,,
Exp,6,AB,1,,
Exp,6,BC,2,,3
Exp,6,AD,2,,
Exp,6,BD,1,,
Exp,6,CD,2,,
Exp,6,DE,2,,3
Exp,6,CE,2,,3
Exp,6,CF,1,,
Exp,6,EF,1,,
Exp,6,FG,1,,
Exp,6,EG,2,,
Exp,6,JointA,1,SupportFix,
Exp,6,JointB,0,Force,
Exp,6,JointC,1,,
Exp,6,JointD,1,,
Exp,6,JointE,1,,
Exp,6,JointF,0,Force,
Exp,6,JointG,1,SupportMobile,
Exp,7,AB,1,,
Exp,7,BC,1,,
Exp,7,AD,3,,3
Exp,7,BD,1,,
Exp,7,CD,2,,
Exp,7,DE,2,,3
Exp,7,CE,2,,
Exp,7,CF,1,,3
Exp,7,EF,1,,
Exp,7,FG,1,,
Exp,7,EG,2,,
Exp,7,JointA,1,SupportFix,
Exp,7,JointB,0,Force,
Exp,7,JointC,1,,
Exp,7,JointD,1,,
Exp,7,JointE,1,,
Exp,7,JointF,0,Force,
Exp,7,JointG,1,SupportMobile,
Exp,8,CN,1,,4
Exp,8,IF,2,,4
Exp,8,BD,2,,4
Pre,1,AB,1,,1
Pre,1,AC,1,,1
Pre,1,BC,2,,1
Pre,2,AB,2,,2
Pre,2,AD,2,,2
Pre,2,BC,1,,2
Pre,3,AD,1,,2
Pre,3,BC,2,,1
Pre,3,BD,1,,2
Pre,4,BD,2,,3
Pre,4,AB,2,,3
Pre,4,AE,3,,2
Pre,5,AB,3,,2
Pre,5,CD,1,,2
Pre,5,BF,3,,2
Pre,6,BC,2,,3
Pre,6,DE,1,,3
Pre,6,BF,3,,3
Pre,7,AG,3,,3
Pre,7,CD,1,,3
Pre,7,EF,2,,3
Post,1,AB,1,,1
Post,1,AC,1,,1
Post,1,BC,2,,1
Post,2,AB,2,,2
Post,2,AD,2,,2
Post,2,BC,1,,2
Post,3,AD,1,,2
Post,3,BC,2,,1
Post,3,BD,1,,2
Post,4,BD,2,,3
Post,4,AB,2,,3
Post,4,AE,3,,2
Post,5,AB,3,,2
Post,5,CD,1,,2
Post,5,BF,3,,2
Post,6,BC,2,,3
Post,6,DE,1,,3
Post,6,BF,3,,3
Post,7,AG,3,,3
Post,7,CD,1,,3
Post,7,EF,2,,3
